"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"bd_017","Integer","","Recommended","Appetite","0::3;-9","0 = My appetite is no worse than usual., 1 = My appetite is not as good as it used to be., 2 = My appetite is much worse now., 3 = I have no appetite at all anymore; -9=Missing;N/A","bdi018"
"bd_004","Integer","","Recommended","Satisfaction","0::3;-9","0 = I am not particularly dissatisfied., 1 = I feel bored most of the time., 1 = I don?t enjoy things the way I used to., 2 = I don?t get satisfaction out of anything anymore., 3 = I am dissatisfied with everything; -9=Missing;N/A","bd0i4"
"baina","Integer","","Recommended","Number of valid answers","","",""
"bdie9","Integer","","Recommended","Total score, excluding question 9","0::55; 99","99=missing",""
"bdie9na","Integer","","Recommended","Number of valid answers given, excluding question 9","0::20","",""
"week","Float","","Recommended","Week in level/study","","99=week 10-week 14",""
"bdi_cog","Integer","","Recommended","Cognitive","","Items: 2, 3, 5, 6, 7, 8, 9, 14",""
"bdi_som","Integer","","Recommended","Somatic","","Items: 1, 4, 10, 11, 12 , 13, 15, 16, 17, 18, 19, 20, 21",""
"subtotal_page_1","Integer","","Recommended","BDI subtotal, page 1","","",""
"subtotal_page_2","Integer","","Recommended","BDI subtotal, page 2","","",""
"bdi_irritated","Integer","","Recommended","Irritated","0::3","0 = I am no more irritated now than I ever am; 1 = I get annoyed or irritated more easily than I used to; 2 = I feel irritated all the time now; 3 = I don't get irritated at all by the things that used to irritate me",""
"bdi_loss","Integer","","Recommended","Loss of interest (people only)","0::3","0 = I have not lost interest in other people; 1 = I am less interested in other people that I used to be; 2 = I have lost most of my interest in other people; 3 = I have lost all of my interest in other people",""
"bdi_indecision","Integer","","Recommended","Indecision (put off decisions)","0::3","0 = I make decisions about as well as I ever could; 1 = I put off making decisions more than I used to; 2 = I have greater difficulty in making decisions than before; 3 = I can't make decisions at all anymore",""
"bdigroup","Integer","","Recommended","BDI Grouping variable","0::4","0 =Possible denial of depression symptoms; 1 =Normal ups and downs; 2 =Mild to moderate depression symptoms; 3=Moderate to severe depression symptoms; 4=Severe depression symptoms",""
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing","bdi_time"
"bdiq23","Integer","","Recommended","BDI Weight Gain","0::3"," 0 = I haven't gained much weight, if any, lately.; 1 = I have gained more than 5 pounds.; 2 = I have gained more than 10 pounds.; 3 = I have gained more than 15 pounds.","q23"
"bdiq24","Integer","","Recommended","I am purposely trying to gain weight.","0; 1","1 = Yes; 0 = No","q24"
"ihend","Date","","Recommended","date ended (today's date if still in progress)","","","enddate"
"restype","Integer","","Recommended","Response Type","","0 = IP Address; 1 = Survey Preview; 2 = Survey Test; 4 = Imported; 8 = Spam; 9 = Survey Preview Spam; 12 = Imported Spam; 16 = Offline; 17 = Offline Survey Preview; 32 = EX; 40 = EX Spam; 48 = EX Offline;",""
"prog","Integer","","Recommended","Progress","","","progress"
"gml_dur","Integer","","Recommended","Trial 1 duration of task, seconds","","","duration__in_seconds_"
"date_updated","Date","","Recommended","Date record updated","","","recordeddate"
"externalreference","String","255","Recommended","External Data Reference","","",""
"primary_language","String","255","Recommended","Subject's Primary Language","","","userlanguage"
